"Date","Price","Open","High","Low","Vol.","Change %"
"13-10-2023","71,321","69,321","71,481","69,321","304.67K","3.08%"
"12-10-2023","69,192","69,712","70,125","69,105","160.46K","-0.51%"
"11-10-2023","69,545","69,244","69,817","69,080","136.56K","0.72%"
"10-10-2023","69,050","69,262","69,262","68,760","110.61K","-0.20%"
"09-10-2023","69,185","68,450","69,300","68,450","152.57K","1.30%"
"06-10-2023","68,294","67,150","68,422","66,840","278.84K","1.93%"
"05-10-2023","67,003","67,211","67,748","66,775","178.08K","-0.12%"
"04-10-2023","67,081","67,507","68,093","66,672","221.78K","-0.72%"
"03-10-2023","67,569","69,910","69,910","65,820","298.89K","-3.50%"
"29-09-2023","70,021","70,950","73,200","69,910","400.61K","-1.03%"
"28-09-2023","70,753","70,780","71,240","70,500","156.78K","0.06%"
"27-09-2023","70,709","71,707","71,707","70,625","187.23K","-1.62%"
"26-09-2023","71,870","72,200","72,200","71,650","143.10K","-0.53%"
"25-09-2023","72,252","73,290","73,600","72,133","184.51K","-1.51%"
"22-09-2023","73,357","73,067","73,750","72,900","145.13K","0.40%"
"21-09-2023","73,067","73,001","73,140","71,500","246.72K","-0.21%"
"20-09-2023","73,219","72,510","73,300","72,231","145.33K","0.83%"
"19-09-2023","72,614","72,615","73,123","72,400","77.05K","0.04%"
"18-09-2023","72,585","72,308","72,668","72,125","120.99K","0.47%"
"15-09-2023","72,246","71,163","72,641","71,163","203.90K","1.61%"
"14-09-2023","71,102","71,470","71,470","70,231","219.52K","-0.62%"
"13-09-2023","71,544","71,800","71,935","71,300","130.84K","-0.65%"
"12-09-2023","72,013","72,175","72,325","71,456","122.94K","-0.03%"
"11-09-2023","72,034","71,820","72,335","71,767","111.62K","0.50%"
"08-09-2023","71,679","72,060","72,423","71,606","142.63K","-0.29%"
"07-09-2023","71,885","72,460","72,489","71,701","141.64K","-0.93%"
"06-09-2023","72,563","73,622","73,752","72,207","206.15K","-1.38%"
"05-09-2023","73,578","74,500","74,500","73,375","173.61K","-1.38%"
"04-09-2023","74,610","75,200","75,449","74,501","82.03K","-0.62%"
"01-09-2023","75,072","75,620","76,465","74,900","171.79K","1.37%"
"31-08-2023","74,060","74,400","74,548","73,961","0.40K","-0.55%"
"30-08-2023","74,466","74,467","75,335","74,269","1.39K","-0.13%"
"29-08-2023","74,562","73,696","74,810","73,116","0.81K","1.51%"
"28-08-2023","73,454","73,160","73,899","73,031","1.87K","0.64%"
"25-08-2023","72,984","73,122","73,563","72,560","28.75K","-0.39%"
"24-08-2023","73,268","73,660","73,696","73,009","67.69K","-0.67%"
"23-08-2023","73,760","71,938","73,800","71,938","120.91K","2.59%"
"22-08-2023","71,896","71,650","71,980","71,502","77.44K","0.39%"
"21-08-2023","71,619","70,425","71,650","70,350","131.49K","1.78%"
"18-08-2023","70,365","70,426","70,630","70,101","82.77K","0.24%"
"17-08-2023","70,197","69,807","70,963","69,609","136.50K","0.41%"
"16-08-2023","69,912","70,400","70,725","69,855","82.81K","-0.30%"
"14-08-2023","70,125","70,071","70,389","69,600","96.11K","-0.05%"
"11-08-2023","70,159","70,250","70,500","69,805","87.16K","0.00%"
"10-08-2023","70,158","70,257","70,786","69,825","150.68K","-0.01%"
"09-08-2023","70,168","70,497","70,745","70,021","116.80K","-0.33%"
"08-08-2023","70,398","71,497","71,497","70,200","135.00K","-1.40%"
"07-08-2023","71,401","72,500","72,500","71,201","127.83K","-1.55%"
"04-08-2023","72,525","72,520","72,980","71,780","145.58K","-0.07%"
"03-08-2023","72,577","72,853","72,889","72,020","155.66K","-0.57%"
"02-08-2023","72,996","73,999","74,700","72,719","178.69K","-1.20%"
"01-08-2023","73,886","75,002","75,031","73,675","147.98K","-1.82%"
"31-07-2023","75,259","74,010","75,299","73,708","133.58K","1.74%"
"28-07-2023","73,969","73,800","74,142","73,511","100.28K","0.41%"
"27-07-2023","73,667","75,400","75,950","73,239","216.05K","-2.03%"
"26-07-2023","75,190","74,600","75,498","74,425","110.63K","0.74%"
"25-07-2023","74,640","74,191","74,777","74,075","111.27K","0.88%"
"24-07-2023","73,986","74,800","74,800","73,660","131.06K","-1.14%"
"21-07-2023","74,839","75,400","75,450","74,702","110.97K","-0.59%"
"20-07-2023","75,284","76,300","76,422","75,077","138.08K","-1.17%"
"19-07-2023","76,177","75,987","76,372","75,722","108.03K","0.37%"
"18-07-2023","75,897","75,400","76,186","75,000","141.59K","0.72%"
"17-07-2023","75,356","75,501","75,625","74,847","111.28K","-0.49%"
"14-07-2023","75,729","75,200","75,878","74,940","166.72K","0.88%"
"13-07-2023","75,069","73,553","75,200","73,487","190.22K","2.22%"
"12-07-2023","73,437","71,400","73,520","71,230","207.14K","3.13%"
"11-07-2023","71,207","71,300","71,865","71,087","116.52K","-0.25%"
"10-07-2023","71,389","71,240","71,438","70,520","115.18K","0.11%"
"07-07-2023","71,313","70,401","71,418","70,205","142.88K","1.29%"
"06-07-2023","70,403","71,500","71,689","70,051","174.42K","-1.39%"
"05-07-2023","71,396","70,450","71,580","70,270","157.42K","1.09%"
"04-07-2023","70,628","70,410","70,769","70,341","62.37K","0.32%"
"03-07-2023","70,400","70,000","70,780","69,933","108.38K","1.88%"
"30-06-2023","69,099","69,685","69,685","68,070","0.65K","0.73%"
"29-06-2023","68,595","69,277","69,299","68,000","0.59K","-1.02%"
"28-06-2023","69,300","69,660","69,660","68,760","1.25K","-0.19%"
"27-06-2023","69,430","69,666","69,899","69,200","1.49K","0.35%"
"26-06-2023","69,189","68,270","69,395","67,590","29.60K","1.65%"
"23-06-2023","68,067","68,111","68,914","67,640","92.34K","-0.55%"
"22-06-2023","68,442","69,151","69,151","68,121","106.05K","-1.32%"
"21-06-2023","69,360","70,440","70,529","68,702","131.92K","-1.58%"
"20-06-2023","70,473","72,400","72,588","70,312","148.36K","-2.71%"
"19-06-2023","72,434","72,659","72,894","72,325","61.39K","-0.26%"
"16-06-2023","72,626","72,250","72,950","72,056","120.43K","0.69%"
"15-06-2023","72,131","72,423","72,423","70,820","185.89K","-0.69%"
"14-06-2023","72,631","72,321","72,750","72,178","87.59K","0.64%"
"13-06-2023","72,167","72,960","73,816","72,100","159.65K","-1.06%"
"12-06-2023","72,943","73,523","73,700","72,742","130.84K","-1.10%"
"09-06-2023","73,752","73,680","74,218","73,456","127.80K","0.20%"
"08-06-2023","73,602","71,900","73,768","71,851","179.80K","2.51%"
"07-06-2023","71,801","71,950","73,100","71,625","193.20K","-0.28%"
"06-06-2023","72,002","71,900","72,500","71,477","144.85K","0.09%"
"05-06-2023","71,936","72,000","72,273","71,302","113.50K","-0.26%"
"02-06-2023","72,123","72,700","72,949","72,035","123.38K","-0.67%"
"01-06-2023","72,612","72,240","72,727","71,302","158.78K","0.67%"
"31-05-2023","72,132","71,050","72,270","70,982","183.10K","1.39%"
"30-05-2023","71,145","71,101","71,500","70,610","135.93K","-0.12%"
"29-05-2023","71,231","71,380","71,600","71,133","75.94K","-0.08%"
"26-05-2023","71,287","70,500","71,485","70,460","166.60K","1.31%"
"25-05-2023","70,367","71,100","71,200","70,251","158.80K","-1.14%"
"24-05-2023","71,181","72,100","72,177","71,000","159.37K","-1.41%"
"23-05-2023","72,200","72,715","72,715","71,250","205.51K","-0.77%"
"22-05-2023","72,763","73,200","73,350","72,607","122.31K","-0.71%"
"19-05-2023","73,284","72,000","73,605","72,000","175.47K","1.58%"
"18-05-2023","72,146","72,610","72,610","71,850","134.89K","-0.67%"
"17-05-2023","72,631","72,602","72,875","72,174","129.47K","0.07%"
"16-05-2023","72,581","73,300","73,300","72,366","166.20K","-1.07%"
"15-05-2023","73,366","73,099","73,620","72,855","116.09K","0.40%"
"12-05-2023","73,073","73,700","73,737","72,550","197.18K","-0.99%"
"11-05-2023","73,804","76,450","76,500","73,735","288.07K","-3.55%"
"10-05-2023","76,517","77,151","77,845","76,136","200.26K","-0.91%"
"09-05-2023","77,219","76,940","77,286","76,505","131.64K","0.42%"
"08-05-2023","76,899","76,951","77,180","76,700","102.19K","0.10%"
"05-05-2023","76,823","77,900","78,063","75,811","220.23K","-1.26%"
"04-05-2023","77,803","76,500","77,900","76,500","184.61K","1.82%"
"03-05-2023","76,412","76,151","76,620","75,700","142.34K","0.42%"
"02-05-2023","76,091","75,200","76,569","74,444","235.60K","1.01%"
"01-05-2023","75,333","75,400","77,600","75,150","212.54K","1.70%"
"28-04-2023","74,073","73,666","74,479","73,550","1.45K","0.01%"
"27-04-2023","74,063","74,397","74,547","73,100","1.08K","0.40%"
"26-04-2023","73,768","74,399","74,737","73,700","1.75K","-0.56%"
"25-04-2023","74,185","74,659","75,380","73,227","8.16K","-0.48%"
"24-04-2023","74,543","74,420","74,700","74,000","29.67K","0.08%"
"21-04-2023","74,486","75,200","75,300","74,342","105.47K","-1.00%"
"20-04-2023","75,240","75,200","75,700","74,801","112.79K","-0.01%"
"19-04-2023","75,249","75,057","75,398","73,850","151.85K","0.21%"
"18-04-2023","75,090","74,724","75,437","74,428","102.94K","0.54%"
"17-04-2023","74,684","75,499","76,130","74,290","135.38K","-1.14%"
"14-04-2023","75,545","76,900","77,414","75,101","148.86K","-1.60%"
"13-04-2023","76,777","75,850","76,900","75,681","131.96K","1.37%"
"12-04-2023","75,741","75,000","76,445","75,000","188.43K","1.11%"
"11-04-2023","74,911","74,599","75,000","74,410","105.67K","0.89%"
"10-04-2023","74,248","74,402","74,890","74,050","105.41K","-0.27%"
"06-04-2023","74,452","74,280","74,694","73,658","122.59K","0.01%"
"05-04-2023","74,448","74,565","75,015","73,809","188.40K","0.00%"
"04-04-2023","74,445","72,157","74,510","71,928","163.96K","3.40%"
"03-04-2023","71,998","72,000","72,635","71,351","155.00K","-0.11%"
"31-03-2023","72,078","71,700","72,425","71,465","137.73K","0.56%"
"30-03-2023","71,676","70,699","71,949","70,699","126.68K","1.43%"
"29-03-2023","70,668","70,490","70,740","70,153","104.08K","0.25%"
"28-03-2023","70,494","70,000","70,573","69,551","128.92K","0.85%"
"27-03-2023","69,898","70,349","70,376","69,650","123.74K","-0.66%"
"24-03-2023","70,362","70,000","71,339","69,885","208.76K","0.34%"
"23-03-2023","70,126","69,369","70,189","69,369","151.15K","1.21%"
"22-03-2023","69,288","68,500","69,449","68,452","148.51K","1.23%"
"21-03-2023","68,445","69,000","69,276","68,213","164.67K","-0.62%"
"20-03-2023","68,870","68,500","69,530","68,157","230.34K","0.57%"
"17-03-2023","68,477","66,754","68,673","66,754","236.60K","2.74%"
"16-03-2023","66,652","67,200","67,870","66,356","227.48K","-1.04%"
"15-03-2023","67,353","66,900","68,689","66,311","301.14K","0.54%"
"14-03-2023","66,988","66,600","67,212","66,065","223.39K","0.42%"
"13-03-2023","66,706","63,300","66,789","63,300","349.10K","5.57%"
"10-03-2023","63,187","62,200","63,850","61,640","241.01K","1.45%"
"09-03-2023","62,281","62,049","62,662","61,800","128.11K","0.25%"
"08-03-2023","62,124","62,505","62,505","61,913","139.21K","-0.73%"
"07-03-2023","62,579","64,562","64,562","62,510","153.01K","-3.17%"
"06-03-2023","64,625","64,700","65,149","64,570","89.76K","-0.01%"
"03-03-2023","64,633","64,323","64,872","64,121","123.61K","0.48%"
"02-03-2023","64,324","64,627","64,781","64,161","118.71K","-0.69%"
"01-03-2023","64,774","64,950","65,280","64,639","154.67K","2.37%"
"28-02-2023","63,275","62,825","63,589","62,360","0.40K","0.47%"
"27-02-2023","62,981","62,595","63,700","62,502","0.95K","-0.73%"
"24-02-2023","63,441","64,502","64,678","63,391","1.29K","-1.59%"
"23-02-2023","64,468","65,344","65,500","64,382","3.11K","-1.16%"
"22-02-2023","65,227","66,119","66,119","64,880","38.16K","-1.20%"
"21-02-2023","66,018","65,849","66,218","65,591","87.37K","0.14%"
"20-02-2023","65,927","65,690","66,099","65,690","68.35K","0.11%"
"17-02-2023","65,852","65,700","65,899","64,755","138.97K","-0.03%"
"16-02-2023","65,874","65,786","66,000","65,342","117.65K","0.27%"
"15-02-2023","65,698","66,349","66,360","65,430","110.08K","-1.13%"
"14-02-2023","66,449","66,505","66,775","65,938","180.55K","0.04%"
"13-02-2023","66,425","66,712","66,819","66,342","108.09K","-0.68%"
"10-02-2023","66,883","67,200","67,325","66,520","138.19K","-0.53%"
"09-02-2023","67,238","67,790","68,040","67,014","150.78K","-0.78%"
"08-02-2023","67,766","67,600","67,994","67,401","122.31K","0.08%"
"07-02-2023","67,715","67,700","68,016","67,326","145.27K","0.19%"
"06-02-2023","67,586","67,636","68,275","67,444","148.90K","-0.24%"
"03-02-2023","67,747","70,170","70,479","67,575","313.29K","-3.37%"
"02-02-2023","70,108","69,800","72,450","69,800","319.88K","0.57%"
"01-02-2023","69,713","68,851","69,999","68,625","172.30K","1.29%"
"31-01-2023","68,825","68,700","68,867","67,806","198.05K","0.26%"
"30-01-2023","68,649","68,473","68,820","68,405","111.55K","0.32%"
"27-01-2023","68,433","68,726","68,925","68,101","156.89K","-0.38%"
"25-01-2023","68,696","68,500","68,786","68,066","165.72K","0.13%"
"24-01-2023","68,607","68,222","68,749","67,950","226.20K","0.77%"
"23-01-2023","68,081","68,750","69,142","67,002","279.04K","-0.80%"
"20-01-2023","68,630","68,549","69,130","68,040","159.35K","0.33%"
"19-01-2023","68,407","68,202","68,544","67,540","186.13K","0.13%"
"18-01-2023","68,320","69,376","69,723","68,211","215.52K","-1.33%"
"17-01-2023","69,238","69,730","69,789","69,072","150.22K","-0.73%"
"16-01-2023","69,750","69,400","69,999","69,213","128.64K","0.54%"
"13-01-2023","69,378","68,750","69,410","68,179","215.63K","1.02%"
"12-01-2023","68,675","68,200","69,225","68,200","220.52K","0.91%"
"11-01-2023","68,058","68,550","69,200","67,705","199.47K","-0.58%"
"10-01-2023","68,454","68,801","68,801","68,151","146.03K","-0.69%"
"09-01-2023","68,930","69,248","69,760","68,833","147.68K","-0.27%"
"06-01-2023","69,117","68,250","69,200","68,250","182.44K","1.40%"
"05-01-2023","68,164","69,319","69,499","67,911","220.42K","-1.67%"
"04-01-2023","69,319","70,075","70,669","69,111","217.64K","-0.82%"
"03-01-2023","69,894","69,650","70,979","69,650","230.68K","0.53%"
"02-01-2023","69,526","69,310","69,620","69,310","43.87K","0.25%"
"30-12-2022","69,352","69,799","69,917","68,762","244.05K","-0.46%"
"29-12-2022","69,673","68,802","69,800","68,709","162.18K","0.99%"
"28-12-2022","68,989","69,899","69,899","68,661","189.96K","-1.10%"
"27-12-2022","69,756","69,200","70,239","69,181","220.69K","1.02%"
"26-12-2022","69,050","69,000","69,200","68,300","51.07K","0.07%"
"23-12-2022","69,004","68,640","69,250","68,640","151.06K","0.68%"
"22-12-2022","68,540","69,800","69,800","68,475","201.77K","-1.61%"
"21-12-2022","69,665","69,555","69,980","69,300","167.31K","0.16%"
"20-12-2022","69,555","67,688","69,663","67,379","277.10K","2.97%"
"19-12-2022","67,546","67,700","68,227","67,230","178.27K","-0.11%"
"16-12-2022","67,617","67,819","67,827","66,820","243.65K","-0.30%"
"15-12-2022","67,819","69,200","69,200","67,460","231.26K","-2.03%"
"14-12-2022","69,226","68,849","69,325","68,674","154.75K","0.75%"
"13-12-2022","68,713","67,910","69,485","67,580","265.89K","1.38%"
"12-12-2022","67,780","67,854","68,273","67,500","178.92K","-0.30%"
"09-12-2022","67,982","67,150","68,178","66,900","244.06K","1.47%"
"08-12-2022","66,997","66,100","67,240","66,031","173.38K","1.12%"
"07-12-2022","66,258","65,780","66,377","65,501","181.72K","1.16%"
"06-12-2022","65,500","65,400","66,164","65,323","202.54K","0.29%"
"05-12-2022","65,313","66,450","67,381","65,211","269.84K","-1.64%"
"02-12-2022","66,404","65,435","66,652","65,075","295.33K","1.59%"
"01-12-2022","65,365","63,643","65,983","63,643","264.23K","4.55%"
"30-11-2022","62,521","61,854","63,100","61,521","0.72K","1.48%"
"29-11-2022","61,610","61,592","62,080","61,355","0.65K","0.63%"
"28-11-2022","61,225","61,781","62,354","61,063","1.94K","-0.81%"
"25-11-2022","61,723","61,999","62,150","61,491","3.37K","-0.41%"
"24-11-2022","61,978","61,794","62,300","61,794","24.12K","0.51%"
"23-11-2022","61,662","61,290","61,773","61,003","137.68K","0.83%"
"22-11-2022","61,153","60,990","61,716","60,990","120.66K","0.47%"
"21-11-2022","60,865","61,020","61,020","60,460","135.39K","-0.46%"
"18-11-2022","61,147","61,500","61,724","60,870","151.11K","-0.16%"
"17-11-2022","61,242","62,288","62,288","61,024","195.65K","-1.46%"
"16-11-2022","62,147","62,087","62,885","61,951","212.34K","0.45%"
"15-11-2022","61,867","62,534","63,083","61,761","228.35K","-1.05%"
"14-11-2022","62,524","61,801","62,666","61,689","215.01K","1.12%"
"11-11-2022","61,834","62,288","62,945","61,401","242.54K","-0.51%"
"10-11-2022","62,154","61,600","62,990","61,433","237.36K","0.57%"
"09-11-2022","61,799","62,008","62,400","61,505","246.23K","-0.56%"
"08-11-2022","62,146","61,000","62,450","60,710","183.60K","1.61%"
"07-11-2022","61,160","60,500","61,500","60,331","217.29K","0.59%"
"04-11-2022","60,803","58,899","60,998","58,899","357.74K","3.47%"
"03-11-2022","58,765","59,255","59,255","57,627","301.60K","-0.85%"
"02-11-2022","59,266","59,324","59,750","59,105","148.98K","-0.04%"
"01-11-2022","59,289","58,250","59,982","58,250","307.47K","1.93%"
"31-10-2022","58,165","58,001","58,295","57,666","168.07K","0.27%"
"28-10-2022","58,010","58,698","58,880","57,644","213.30K","-1.18%"
"27-10-2022","58,702","58,621","58,949","58,300","194.73K","0.10%"
"26-10-2022","58,641","58,581","58,889","58,459","101.79K","0.23%"
"25-10-2022","58,506","58,000","58,650","57,357","246.19K","0.49%"
"24-10-2022","58,221","58,240","58,510","58,011","23.33K","0.21%"
"21-10-2022","58,097","57,220","58,183","56,259","318.05K","1.46%"
"20-10-2022","57,259","56,601","57,777","56,214","219.68K","1.08%"
"19-10-2022","56,646","57,000","57,067","56,550","127.26K","-0.52%"
"18-10-2022","56,940","57,081","57,422","56,501","176.79K","0.05%"
"17-10-2022","56,912","56,200","57,429","56,150","188.29K","1.82%"
"14-10-2022","55,895","57,775","58,065","55,600","269.70K","-3.11%"
"13-10-2022","57,688","57,801","58,515","56,800","247.40K","-0.37%"
"12-10-2022","57,905","58,828","58,828","57,751","180.77K","-2.02%"
"11-10-2022","59,097","59,535","59,535","58,580","184.54K","-0.84%"
"10-10-2022","59,597","60,761","60,761","59,351","195.93K","-2.54%"
"07-10-2022","61,149","61,800","62,199","60,774","252.12K","-0.81%"
"06-10-2022","61,647","61,288","61,999","61,146","210.70K","0.92%"
"05-10-2022","61,085","61,777","61,777","59,825","194.63K","-1.77%"
"04-10-2022","62,183","61,450","62,642","61,300","268.59K","1.61%"
"03-10-2022","61,197","57,500","61,270","57,500","403.79K","6.64%"
"30-09-2022","57,385","56,880","57,785","56,821","259.82K","1.13%"
"29-09-2022","56,743","57,022","57,039","56,316","215.45K","-0.53%"
"28-09-2022","57,044","55,900","57,120","55,055","315.75K","1.82%"
"27-09-2022","56,026","56,140","56,735","55,853","222.80K","0.06%"
"26-09-2022","55,992","56,855","57,320","55,882","245.48K","-1.47%"
"23-09-2022","56,829","58,396","58,650","56,637","284.42K","-2.76%"
"22-09-2022","58,444","57,621","58,869","57,436","227.76K","1.14%"
"21-09-2022","57,785","57,051","58,134","57,010","204.11K","1.53%"
"20-09-2022","56,912","57,500","57,600","56,721","147.71K","-0.54%"
"19-09-2022","57,223","57,200","57,548","57,011","153.33K","-0.05%"
"16-09-2022","57,254","56,900","57,499","56,000","248.73K","0.48%"
"15-09-2022","56,979","57,401","57,671","56,730","196.28K","-0.90%"
"14-09-2022","57,498","57,112","57,730","56,870","169.83K","0.28%"
"13-09-2022","57,340","58,005","58,136","57,084","246.41K","-1.07%"
"12-09-2022","57,958","55,741","58,260","55,675","328.52K","4.10%"
"09-09-2022","55,673","55,000","55,754","55,000","183.54K","1.33%"
"08-09-2022","54,942","54,673","55,374","54,560","186.75K","0.48%"
"07-09-2022","54,682","53,845","54,761","53,426","184.60K","1.46%"
"06-09-2022","53,897","54,249","54,960","53,850","194.00K","-0.33%"
"05-09-2022","54,075","53,796","54,248","53,771","80.94K","0.58%"
"02-09-2022","53,763","53,321","54,325","53,135","180.43K","0.86%"
"01-09-2022","53,302","53,800","53,800","52,666","168.53K","-1.10%"
"31-08-2022","53,893","53,893","53,893","53,893","","-1.11%"
"30-08-2022","54,497","55,057","55,088","54,277","0.02K","-0.83%"
"29-08-2022","54,953","54,589","55,319","54,231","1.20K","-0.82%"
"26-08-2022","55,405","55,885","56,330","55,261","1.52K","-0.68%"
"25-08-2022","55,782","55,499","56,190","55,484","2.83K","1.03%"
"24-08-2022","55,216","55,355","55,812","55,050","75.91K","-0.82%"
"23-08-2022","55,675","55,877","56,077","55,165","145.93K","-0.01%"
"22-08-2022","55,679","56,200","56,288","55,212","128.13K","-1.04%"
"19-08-2022","56,265","57,100","57,100","56,060","134.43K","-1.65%"
"18-08-2022","57,211","57,480","57,900","57,138","133.30K","-0.72%"
"17-08-2022","57,627","58,300","58,565","57,466","134.10K","-1.11%"
"16-08-2022","58,274","59,550","59,550","57,961","153.43K","-2.41%"
"12-08-2022","59,713","59,130","59,832","58,902","142.25K","1.18%"
"11-08-2022","59,016","59,380","59,600","58,837","148.83K","-0.73%"
"10-08-2022","59,452","59,250","59,799","58,965","153.02K","0.21%"
"09-08-2022","59,327","59,598","59,800","59,160","95.94K","-0.32%"
"08-08-2022","59,518","57,956","59,647","57,876","208.71K","2.60%"
"05-08-2022","58,009","58,627","58,819","57,375","204.63K","-0.94%"
"04-08-2022","58,559","58,300","58,977","58,180","184.76K","0.65%"
"03-08-2022","58,180","58,190","58,498","57,856","151.30K","-0.16%"
"02-08-2022","58,275","58,780","58,920","58,152","186.72K","-0.96%"
"01-08-2022","58,838","58,566","59,230","58,374","150.94K","0.10%"
"29-07-2022","58,782","58,300","58,840","58,021","186.97K","1.08%"
"28-07-2022","58,156","55,750","58,244","55,750","291.36K","4.61%"
